graph,workload,backend,speedup,repeat,node_count,node,elapsed_seconds,metric,value,unit
latency,Conversation,3FS,2,1,,,,max_buffer_wait_ms,6.4,ms
latency,Conversation,3FS,2,1,,,,max_dependency_wait_ms,13.3218461538,ms
latency,Conversation,3FS,2,1,,,,max_schedule_lag_ms,23.8244102564,ms
latency,Conversation,3FS,2,1,,,,read_p50_latency_ms,1.905024,ms
latency,Conversation,3FS,2,1,,,,read_p90_latency_ms,3.333792,ms
latency,Conversation,3FS,2,1,,,,read_p99_latency_ms,7.620096,ms
latency,Conversation,3FS,2,1,,,,write_p50_latency_ms,1.558656,ms
latency,Conversation,3FS,2,1,,,,write_p90_latency_ms,2.727648,ms
latency,Conversation,3FS,2,1,,,,write_p99_latency_ms,6.234624,ms
latency,Conversation,3FS,2,2,,,,max_buffer_wait_ms,6.24,ms
latency,Conversation,3FS,2,2,,,,max_dependency_wait_ms,12.9888,ms
latency,Conversation,3FS,2,2,,,,max_schedule_lag_ms,23.2288,ms
latency,Conversation,3FS,2,2,,,,read_p50_latency_ms,1.8573984,ms
latency,Conversation,3FS,2,2,,,,read_p90_latency_ms,3.2504472,ms
latency,Conversation,3FS,2,2,,,,read_p99_latency_ms,7.4295936,ms
latency,Conversation,3FS,2,2,,,,write_p50_latency_ms,1.5196896,ms
latency,Conversation,3FS,2,2,,,,write_p90_latency_ms,2.6594568,ms
latency,Conversation,3FS,2,2,,,,write_p99_latency_ms,6.0787584,ms
latency,Conversation,3FS,2,3,,,,max_buffer_wait_ms,6.08780487805,ms
latency,Conversation,3FS,2,3,,,,max_dependency_wait_ms,12.672,ms
latency,Conversation,3FS,2,3,,,,max_schedule_lag_ms,22.6622439024,ms
latency,Conversation,3FS,2,3,,,,read_p50_latency_ms,1.812096,ms
latency,Conversation,3FS,2,3,,,,read_p90_latency_ms,3.171168,ms
latency,Conversation,3FS,2,3,,,,read_p99_latency_ms,7.248384,ms
latency,Conversation,3FS,2,3,,,,write_p50_latency_ms,1.482624,ms
latency,Conversation,3FS,2,3,,,,write_p90_latency_ms,2.594592,ms
latency,Conversation,3FS,2,3,,,,write_p99_latency_ms,5.930496,ms
latency,Conversation,pNFS,2,1,,,,max_buffer_wait_ms,9.82589427034,ms
latency,Conversation,pNFS,2,1,,,,max_dependency_wait_ms,16.9401253561,ms
latency,Conversation,pNFS,2,1,,,,max_schedule_lag_ms,31.3244241849,ms
latency,Conversation,pNFS,2,1,,,,read_p50_latency_ms,2.49661264957,ms
latency,Conversation,pNFS,2,1,,,,read_p90_latency_ms,4.36907213675,ms
latency,Conversation,pNFS,2,1,,,,read_p99_latency_ms,9.98645059829,ms
latency,Conversation,pNFS,2,1,,,,write_p50_latency_ms,2.03034803419,ms
latency,Conversation,pNFS,2,1,,,,write_p90_latency_ms,3.55310905983,ms
latency,Conversation,pNFS,2,1,,,,write_p99_latency_ms,8.12139213675,ms
latency,Conversation,pNFS,2,2,,,,max_buffer_wait_ms,9.58024691358,ms
latency,Conversation,pNFS,2,2,,,,max_dependency_wait_ms,16.5166222222,ms
latency,Conversation,pNFS,2,2,,,,max_schedule_lag_ms,30.5413135802,ms
latency,Conversation,pNFS,2,2,,,,read_p50_latency_ms,2.43419733333,ms
latency,Conversation,pNFS,2,2,,,,read_p90_latency_ms,4.25984533333,ms
latency,Conversation,pNFS,2,2,,,,read_p99_latency_ms,9.73678933333,ms
latency,Conversation,pNFS,2,2,,,,write_p50_latency_ms,1.97958933333,ms
latency,Conversation,pNFS,2,2,,,,write_p90_latency_ms,3.46428133333,ms
latency,Conversation,pNFS,2,2,,,,write_p99_latency_ms,7.91835733333,ms
latency,Conversation,pNFS,2,3,,,,max_buffer_wait_ms,9.34658235471,ms
latency,Conversation,pNFS,2,3,,,,max_dependency_wait_ms,16.1137777778,ms
latency,Conversation,pNFS,2,3,,,,max_schedule_lag_ms,29.7964034929,ms
latency,Conversation,pNFS,2,3,,,,read_p50_latency_ms,2.37482666667,ms
latency,Conversation,pNFS,2,3,,,,read_p90_latency_ms,4.15594666667,ms
latency,Conversation,pNFS,2,3,,,,read_p99_latency_ms,9.49930666667,ms
latency,Conversation,pNFS,2,3,,,,write_p50_latency_ms,1.93130666667,ms
latency,Conversation,pNFS,2,3,,,,write_p90_latency_ms,3.37978666667,ms
latency,Conversation,pNFS,2,3,,,,write_p99_latency_ms,7.72522666667,ms
latency,Conversation,xfs,2,1,,,,max_buffer_wait_ms,43.6295133438,ms
latency,Conversation,xfs,2,1,,,,max_dependency_wait_ms,67.1529795918,ms
latency,Conversation,xfs,2,1,,,,max_schedule_lag_ms,116.643298796,ms
latency,Conversation,xfs,2,1,,,,read_p50_latency_ms,4.3872373752,ms
latency,Conversation,xfs,2,1,,,,read_p90_latency_ms,7.67766540659,ms
latency,Conversation,xfs,2,1,,,,read_p99_latency_ms,17.5489495008,ms
latency,Conversation,xfs,2,1,,,,write_p50_latency_ms,3.34181229513,ms
latency,Conversation,xfs,2,1,,,,write_p90_latency_ms,5.84817151648,ms
latency,Conversation,xfs,2,1,,,,write_p99_latency_ms,13.3672491805,ms
latency,Conversation,xfs,2,2,,,,max_buffer_wait_ms,42.5387755102,ms
latency,Conversation,xfs,2,2,,,,max_dependency_wait_ms,65.474155102,ms
latency,Conversation,xfs,2,2,,,,max_schedule_lag_ms,113.727216327,ms
latency,Conversation,xfs,2,2,,,,read_p50_latency_ms,4.27755644082,ms
latency,Conversation,xfs,2,2,,,,read_p90_latency_ms,7.48572377143,ms
latency,Conversation,xfs,2,2,,,,read_p99_latency_ms,17.1102257633,ms
latency,Conversation,xfs,2,2,,,,write_p50_latency_ms,3.25826698776,ms
latency,Conversation,xfs,2,2,,,,write_p90_latency_ms,5.70196722857,ms
latency,Conversation,xfs,2,2,,,,write_p99_latency_ms,13.033067951,ms
latency,Conversation,xfs,2,3,,,,max_buffer_wait_ms,41.5012444002,ms
latency,Conversation,xfs,2,3,,,,max_dependency_wait_ms,63.8772244898,ms
latency,Conversation,xfs,2,3,,,,max_schedule_lag_ms,110.953381782,ms
latency,Conversation,xfs,2,3,,,,read_p50_latency_ms,4.17322579592,ms
latency,Conversation,xfs,2,3,,,,read_p90_latency_ms,7.30314514286,ms
latency,Conversation,xfs,2,3,,,,read_p99_latency_ms,16.6929031837,ms
latency,Conversation,xfs,2,3,,,,write_p50_latency_ms,3.17879706122,ms
latency,Conversation,xfs,2,3,,,,write_p90_latency_ms,5.56289485714,ms
latency,Conversation,xfs,2,3,,,,write_p99_latency_ms,12.7151882449,ms
latency,SWE-bench,3FS,2,1,,,,max_buffer_wait_ms,6.4,ms
latency,SWE-bench,3FS,2,1,,,,max_dependency_wait_ms,14.976,ms
latency,SWE-bench,3FS,2,1,,,,max_schedule_lag_ms,25.4785641026,ms
latency,SWE-bench,3FS,2,1,,,,read_p50_latency_ms,2.141568,ms
latency,SWE-bench,3FS,2,1,,,,read_p90_latency_ms,3.747744,ms
latency,SWE-bench,3FS,2,1,,,,read_p99_latency_ms,8.566272,ms
latency,SWE-bench,3FS,2,1,,,,write_p50_latency_ms,1.752192,ms
latency,SWE-bench,3FS,2,1,,,,write_p90_latency_ms,3.066336,ms
latency,SWE-bench,3FS,2,1,,,,write_p99_latency_ms,7.008768,ms
latency,SWE-bench,3FS,2,2,,,,max_buffer_wait_ms,6.24,ms
latency,SWE-bench,3FS,2,2,,,,max_dependency_wait_ms,14.6016,ms
latency,SWE-bench,3FS,2,2,,,,max_schedule_lag_ms,24.8416,ms
latency,SWE-bench,3FS,2,2,,,,read_p50_latency_ms,2.0880288,ms
latency,SWE-bench,3FS,2,2,,,,read_p90_latency_ms,3.6540504,ms
latency,SWE-bench,3FS,2,2,,,,read_p99_latency_ms,8.3521152,ms
latency,SWE-bench,3FS,2,2,,,,write_p50_latency_ms,1.7083872,ms
latency,SWE-bench,3FS,2,2,,,,write_p90_latency_ms,2.9896776,ms
latency,SWE-bench,3FS,2,2,,,,write_p99_latency_ms,6.8335488,ms
